,nome_municipio,estado,area_territorial,populacao_ibge_2007,densidade_demografica_hab_km2,pib_ibge_2005,pib_per_capita,idh_2000
0,Aceguá,Rio Grande do Sul,1550,4138,2.66,71638000,17266,0.621
1,Acrelândia,Acre,1575,11520,7.31,114350000,9986,0.68
2,Alecrim,Rio Grande do Sul,315,7357,23.35,44373000,5944,0.743
3,Almeirim,Pará,72960,30903,0.42,462258000,13485,0.745
4,Alta Floresta d'Oeste,Rondônia,7067,23857,3.37,186812000,6525,0.715
5,Alto Alegre,Roraima,25567,14386,0.56,115786000,5239,0.662
6,Alto Alegre dos Parecis,Rondônia,3959,11615,2.93,90226000,6001,0.621
7,Amajari,Roraima,28472,7586,0.26,31897,5240000,0.654
8,Antônio João,Mato Grosso do Sul,1144,8350,7.29,39989000,5067,0.702
9,Aral Moreira,Mato Grosso do Sul,1656,9236,5.57,105697000,13132,0.723
10,Assis Brasil,Acre,2876,5351,1.86,30298000,5984,0.67
11,Atalaia do Norte,Amazonas,76355,13682,0.17,29028000,2570,0.621
12,Bagé,Rio Grande do Sul,4096,112550,27.47,906488000,7473,0.802
13,Bandeirante,Santa Catarina,146,3028,20.73,21423000,7546,0.765
14,Barcelos,Amazonas,122476,24567,0.2,72004000,2238,0.621
15,Barra do Quaraí,Rio Grande do Sul,1056,3776,3.57,61540000,14429,0.777
16,Barracão,Paraná,164,9027,55.04,60601000,6718,0.764
17,Bela Vista,Mato Grosso do Sul,4896,22868,4.67,132870000,5676,0.755
18,Belmonte,Santa Catarina,94,2681,28.52,21670000,9954,0.759
19,Benjamin Constant,Amazonas,8793,9268,3.32,82120000,3135,0.621
20,Bom Jesus do Sul,Paraná,174,3835,22.04,17950000,4638,0.696
21,Bonfim,Roraima,8095,10231,1.26,68363000,5414,0.654
22,Brasiléia,Acre,4336,19065,4.39,117525000,6632,0.669
23,Cabixi,Rondônia,1314,6575,5.0,77125000,10372,0.705
24,Cáceres,Mato Grosso,24398,84175,3.45,596654000,6700,0.737
25,Capanema,Paraná,419,18103,43.2,180519000,10297,0.803
26,Capixaba,Acre,1713,8446,4.93,78389000,11092,0.607
27,Caracaraí,Roraima,47411,17981,0.37,100885000,5685,0.702
28,Caracol,Mato Grosso do Sul,2939,5095,1.73,45533000,9094,0.725
29,Caroebe,Roraima,12066,7086,0.58,42296000,7207,0.661
30,Chuí,Rio Grande do Sul,203,5278,26.0,67525000,10574,0.811
31,Comodoro,Mato Grosso,21743,17939,0.82,169919000,9010,0.724
32,Coronel Sapucaia,Mato Grosso do Sul,1029,13979,13.58,54797000,4041,0.713
33,Corumbá,Mato Grosso do Sul,65304,114279,1.74,1557253000,13234,0.771
34,Costa Marques,Rondônia,12722,13664,1.07,63022000,5553,0.621
35,Crissiumal,Rio Grande do Sul,362,14726,40.67,114089000,8376,0.786
36,Cruzeiro do Sul,Acre,7925,73948,9.33,391943000,4647,0.668
37,Derrubadas,Rio Grande do Sul,361,3378,9.35,22816000,7046,0.759
38,Dionísio Cerqueira,Santa Catarina,378,14792,39.13,91757000,6293,0.747
39,Dom Pedrito,Rio Grande do Sul,5192,38148,7.34,399884000,9547,0.783
40,Doutor Maurício Cardoso,Rio Grande do Sul,256,5494,21.46,44112000,7635,0.765
41,Entre Rios do Oeste,Paraná,122,3842,31.49,43185000,12063,0.847
42,Epitaciolândia,Acre,1659,13434,8.59,88164000,6397,0.684
43,Esperança do Sul,Rio Grande do Sul,148,3445,23.27,22399000,6753,0.708
44,Feijó,Acre,24202,31288,1.29,144977000,3791,0.541
45,Foz do Iguaçu,Paraná,618,311336,503.7,4853331000,16102,0.802
46,Garruchos,Rio Grande do Sul,800,3457,4.32,142976000,35798,0.715
47,Guaíra,Paraná,561,28683,51.12,262157000,9424,0.777
48,Guajará,Amazonas,8904,14102,1.58,36564000,3030,0.621
49,Guajará Mirim,Rondônia,24856,39451,1.58,345511000,8332,0.74
50,Guaraciaba,Santa Catarina,331,10604,32.03,103642000,10111,0.621
51,Herval,Rio Grande do Sul,1758,6873,3.9,46229000,6151,0.754
52,Iracema,Roraima,14119,5863,0.41,46735000,7712,0.713
53,Itaipulândia,Paraná,336,8581,25.53,83158000,9782,0.76
54,Itapiranga,Santa Catarina,280,15238,54.42,298682000,22447,0.832
55,Itaqui,Rio Grande do Sul,3404,36361,10.68,487062000,11494,0.801
56,Jaguarão,Rio Grande do Sul,2054,27944,13.6,193018000,6116,0.764
57,Japorã,Mato Grosso do Sul,420,7362,17.52,23976000,3350,0.636
58,Japurá,Amazonas,55791,5281,0.09,27100000,2080,0.621
59,Jordão,Acre,5429,6059,1.11,23805000,5138,0.475
60,Laranjal do Jari,Amapá,30966,37491,1.21,182901000,5099,0.621
61,Mâncio Lima,Acre,4672,13785,2.95,49705000,3899,0.642
62,Manoel Urbano,Acre,9387,7148,0.76,31268000,4095,0.601
63,Marechal Rondon,Paraná,748,44562,59.57,632818000,14155,0.829
64,Marechal Thaumaturgo,Acre,7744,13061,1.68,37645000,4452,0.533
65,Mercedes,Paraná,201,4713,23.44,54480000,11210,0.816
66,Mundo Novo,Mato Grosso do Sul,479,15968,33.33,98247000,6884,0.761
67,Normandia,Roraima,6967,7118,1.02,51071000,9573,0.6
68,Novo Machado,Rio Grande do Sul,219,4246,19.38,25210000,5922,0.773
69,Nova Mamoré,Rondônia,10072,21162,2.1,124538000,6388,0.621
70,Óbidos,Pará,28021,46793,1.66,138489000,2820,0.681
71,Oiapoque,Amapá,22625,19181,0.84,143244000,8828,0.621
72,Oriximiná,Pará,107603,55175,0.51,776845000,14620,0.717
73,Pacaraima,Roraima,8028,8640,0.1,60608000,7378,0.718
74,Paraíso,Santa Catarina,179,4195,23.43,33605000,8312,0.773
75,Paranhos,Mato Grosso do Sul,1302,11092,8.51,43703000,4094,0.676
76,Pato Bragado,Paraná,135,4631,34.3,41697000,9542,0.821
77,Pedras Altas,Rio Grande do Sul,1377,2546,1.84,27829000,10135,0.621
78,Pérola d'Oeste,Paraná,206,7046,34.2,45781000,6961,0.759
79,Pimenteiras do Oeste,Rondônia,6015,2358,0.39,37163000,14201,0.715
80,Pirapó,Rio Grande do Sul,292,2988,10.23,17960000,5879,0.72
81,Plácido de Castro,Acre,2047,17258,8.43,139814000,8377,0.683
82,Planalto,Paraná,346,13649,39.44,86426000,6395,0.763
83,Poconé,Mato Grosso,17261,31118,1.8,155511000,4961,0.679
84,Ponta Porã,Mato Grosso do Sul,5329,72207,13.54,500246000,7445,0.78
85,Porto Esperidião,Mato Grosso,5815,9607,1.65,75694000,6958,0.695
86,Porto Lucena,Rio Grande do Sul,250,5631,22.52,34801000,5845,0.747
87,Porto Mauá,Rio Grande do Sul,106,2565,24.19,18496000,6833,0.802
88,Porto Murtinho,Mato Grosso do Sul,17735,14861,0.83,128574000,9430,0.698
89,Porto Velho,Rondônia,34082,369345,10.83,3656512000,9779,0.763
90,Porto Vera Cruz,Rio Grande do Sul,114,2084,18.28,14178000,6378,0.755
91,Porto Walter,Acre,6136,8170,1.33,25925000,5225,0.54
92,Porto Xavier,Rio Grande do Sul,281,10857,38.63,71337000,6285,0.762
93,Pranchita,Paraná,226,5811,25.71,57331000,10120,0.803
94,Princesa,Santa Catarina,86,2604,30.27,18803000,7709,0.621
95,Quaraí,Rio Grande do Sul,3148,22552,7.16,162412000,6444,0.776
96,Rodrigues Alves,Acre,3305,12428,3.76,51468000,5254,0.55
97,Roque Gonzales,Rio Grande do Sul,347,7297,21.02,54655000,7626,0.749
98,Santa Helena,Paraná,758,22794,30.07,219973000,10226,0.799
99,Santa Helena,Santa Catarina,81,2437,30.08,165449000,14812,0.787
100,Santa Isabel do Rio Negro,Amazonas,62846,16921,0.26,24231000,3181,0.621
101,Santa Rosa do Purus,Acre,5981,3948,0.66,15321000,4513,0.525
102,Santa Vitória do Palmar,Rio Grande do Sul,5244,31183,5.94,289223000,8360,0.799
103,Santana do Livramento,Rio Grande do Sul,6950,83479,12.01,598387000,6138,0.803
104,Santo Antônio do Içá,Amazonas,12308,29249,2.37,68275000,1958,0.621
105,Santo Antônio do Sudoeste,Paraná,326,18565,56.94,92521000,5101,0.715
106,São Borja,Rio Grande do Sul,3616,65671,17.1,596804000,8862,0.798
107,São Francisco do Guaporé,Rondônia,4747,15710,3.3,108183000,6453,0.621
108,São Gabriel da Cachoeira,Amazonas,109185,39129,0.35,111093000,3261,0.567
109,São José do Cedro,Santa Catarina,280,13699,48.92,153722000,11838,0.804
110,São Miguel do Iguaçu,Paraná,851,25341,29.77,297300000,11065,0.779
111,São Nicolau,Rio Grande do Sul,485,5909,12.18,32338000,5290,0.713
112,Sena Madureira,Acre,25278,34230,1.35,234381000,7105,0.652
113,Serranópolis do Iguaçu,Paraná,484,4327,8.94,52876000,10635,0.796
114,Sete Quedas,Mato Grosso do Sul,826,10659,12.9,54103000,6445,0.719
115,Tabatinga,Amazonas,3225,45293,14.04,116755000,2655,0.621
116,Tiradentes do Sul,Rio Grande do Sul,234,6928,29.6,42926000,6577,0.746
117,Tunápolis,Santa Cataria,133,4650,34.96,40845000,9420,0.821
118,Uiramutã,Roraima,8066,7403,0.91,27251000,4238,0.542
119,Uruguaiana,Rio Grande do Sul,5716,123743,21.64,1187038000,8798,0.788
120,Vila Bela da Santíssima Trindade,Mato Grosso,13631,13886,1.01,116908000,8047,0.715
121,Xapuri,Acre,5251,14314,2.72,82377000,6016,0.669
